timestamp,j1_pos,j1_vel,j2_pos,j2_vel,j3_pos,j3_vel,j4_pos,j4_vel,j5_pos,j5_vel,j6_pos,j6_vel
17.3287,-0.0455866,-0.00732613,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0329981,0.00732613,0.251203,-0.00732613
17.3308,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0329981,0.00732613,0.251203,-0.0219784
17.3328,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0326166,-0.00732803,0.251203,-0.00732613
17.3347,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0326166,0.00732613,0.251203,-0.00732613
17.3367,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0329981,0.0219784,0.251203,-0.0219784
17.3388,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.0219784,0.0326166,0.00732613,0.251203,-0.00732613
17.3407,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0329981,0.00732613,0.251203,-0.00732613
17.3427,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0326166,0.00732613,0.251203,-0.00732613
17.3445,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0329981,0.00732613,0.251203,0.00732803
17.3465,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0329981,0.00732613,0.251203,-0.00732613
17.3485,-0.0455866,-0.00732613,0.0135422,-0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0329981,0.00732613,0.251203,-0.0219784
17.3505,-0.0455866,-0.00244236,0.0135422,0.00244236,0.106241,-0.00244236,0.0780125,-0.00732803,0.0329981,0.00732613,0.251203,-0.0219784
17.3525,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0329981,0.00732613,0.251203,-0.00732613
17.3546,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0329981,0.00732613,0.251203,-0.00732613
17.3566,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0329981,0.00732613,0.251203,0.00732803
